"color","name"
"Black Skin","Aurorian #9722"
"Latino Skin","Aurorian #7684"
"White Skin","Aurorian #3605"
"White Skin","Aurorian #2506"
"Black Skin","Aurorian #9184"
"White Skin","Aurorian #351"
"White Skin","Aurorian #1122"
"White Skin","Aurorian #400"
"White Skin","Aurorian #7634"
"Latino Skin","Aurorian #2466"
"Latino Skin","Aurorian #8271"
"Black Skin","Aurorian #7979"
"Latino Skin","Aurorian #537"
"White Skin","Aurorian #3792"
"Black Skin","Aurorian #2343"
"Black Skin","Aurorian #8228"
"White Skin","Aurorian #988"
"White Skin","Aurorian #6338"
"White Skin","Aurorian #3597"
"Black Skin","Aurorian #7838"
"White Skin","Aurorian #3896"
"Latino Skin","Aurorian #7908"
"White Skin","Aurorian #7707"
"White Skin","Aurorian #6852"
"Black Skin","Aurorian #2640"
"Black Skin","Aurorian #7182"
"Black Skin","Aurorian #2677"
"Black Skin","Aurorian #3555"
"White Skin","Aurorian #2810"
"Black Skin","Aurorian #3267"
"White Skin","Aurorian #3752"
"White Skin","Aurorian #8405"
"White Skin","Aurorian #6723"
"Black Skin","Aurorian #9820"
"Black Skin","Aurorian #6668"
"Black Skin","Aurorian #3196"
"White Skin","Aurorian #9254"
"Black Skin","Aurorian #4374"
"White Skin","Aurorian #8078"
"Black Skin","Aurorian #4906"
"Latino Skin","Aurorian #9768"
"Latino Skin","Aurorian #9042"
"White Skin","Aurorian #6111"
"Black Skin","Aurorian #1428"
"White Skin","Aurorian #2538"
"Latino Skin","Aurorian #4081"
"Black Skin","Aurorian #4637"
"Latino Skin","Aurorian #4662"
"Black Skin","Aurorian #9938"
"White Skin","Aurorian #6371"
"Latino Skin","Aurorian #1509"
"White Skin","Aurorian #1537"
"Black Skin","Aurorian #410"
"White Skin","Aurorian #838"
"White Skin","Aurorian #9407"
"White Skin","Aurorian #4359"
"Latino Skin","Aurorian #1218"
"Black Skin","Aurorian #6848"
"White Skin","Aurorian #1025"
"White Skin","Aurorian #6675"
"Latino Skin","Aurorian #3684"
"Black Skin","Aurorian #9223"
"Latino Skin","Aurorian #8040"
"White Skin","Aurorian #4102"
"Latino Skin","Aurorian #7521"
"White Skin","Aurorian #9853"
"Black Skin","Aurorian #1516"
"White Skin","Aurorian #6316"
"White Skin","Aurorian #9269"
"White Skin","Aurorian #4876"
"Black Skin","Aurorian #64"
"White Skin","Aurorian #9107"
"Latino Skin","Aurorian #1676"
"White Skin","Aurorian #3465"
"Latino Skin","Aurorian #3787"
"Latino Skin","Aurorian #7424"
"Black Skin","Aurorian #5586"
"Black Skin","Aurorian #9420"
"Black Skin","Aurorian #76"
"White Skin","Aurorian #2611"
"White Skin","Aurorian #2871"
"Black Skin","Aurorian #8464"
"Black Skin","Aurorian #6416"
"Black Skin","Aurorian #6466"
"Latino Skin","Aurorian #4033"
"White Skin","Aurorian #5019"
"White Skin","Aurorian #7296"
"Latino Skin","Aurorian #5394"
"White Skin","Aurorian #3559"
"White Skin","Aurorian #6985"
"White Skin","Aurorian #7527"
"White Skin","Aurorian #1592"
"White Skin","Aurorian #5593"
"White Skin","Aurorian #507"
"Black Skin","Aurorian #1117"
"Latino Skin","Aurorian #9758"
"Black Skin","Aurorian #1742"
"White Skin","Aurorian #5094"
"Black Skin","Aurorian #5783"
"White Skin","Aurorian #2641"
"White Skin","Aurorian #544"
"Black Skin","Aurorian #1856"
"Latino Skin","Aurorian #4175"
"Black Skin","Aurorian #2095"
"White Skin","Aurorian #6271"
"Black Skin","Aurorian #9780"
"White Skin","Aurorian #32"
"Black Skin","Aurorian #2403"
"White Skin","Aurorian #8369"
"White Skin","Aurorian #4332"
"Latino Skin","Aurorian #6930"
"White Skin","Aurorian #1274"
"White Skin","Aurorian #9402"
"White Skin","Aurorian #5748"
"Black Skin","Aurorian #9512"
"White Skin","Aurorian #2258"
"Latino Skin","Aurorian #8691"
"Black Skin","Aurorian #3747"
"White Skin","Aurorian #2018"
"White Skin","Aurorian #4331"
"Black Skin","Aurorian #286"
"Latino Skin","Aurorian #5840"
"White Skin","Aurorian #826"
"Latino Skin","Aurorian #8182"
"Latino Skin","Aurorian #7868"
"White Skin","Aurorian #4373"
"Latino Skin","Aurorian #6380"
"Latino Skin","Aurorian #1571"
"White Skin","Aurorian #3581"
"Black Skin","Aurorian #7622"
"Black Skin","Aurorian #2767"
"White Skin","Aurorian #8867"
"White Skin","Aurorian #7694"
"White Skin","Aurorian #1189"
"Latino Skin","Aurorian #6575"
"Latino Skin","Aurorian #8342"
"Latino Skin","Aurorian #2909"
"Black Skin","Aurorian #7514"
"White Skin","Aurorian #2942"
"Latino Skin","Aurorian #3240"
"Black Skin","Aurorian #2474"
"White Skin","Aurorian #6529"
"White Skin","Aurorian #6815"
"Latino Skin","Aurorian #2783"
"Latino Skin","Aurorian #3484"
"Black Skin","Aurorian #1196"
"Latino Skin","Aurorian #2781"
"Latino Skin","Aurorian #5444"
"White Skin","Aurorian #4024"
"Black Skin","Aurorian #2487"
"White Skin","Aurorian #7445"
"Latino Skin","Aurorian #2726"
"Latino Skin","Aurorian #7596"
"White Skin","Aurorian #8923"
"White Skin","Aurorian #9053"
"Latino Skin","Aurorian #5666"
"Black Skin","Aurorian #1414"
"Latino Skin","Aurorian #7451"
"Black Skin","Aurorian #1452"
"Latino Skin","Aurorian #6465"
"White Skin","Aurorian #9839"
"Latino Skin","Aurorian #8365"
"Black Skin","Aurorian #9117"
"White Skin","Aurorian #7670"
